CustomerID,CustomerName,City,State,Segment
C00001,Cust_753LC,Bengaluru,Karnataka,Retail
C00002,Cust_8DRC1,Lucknow,Uttar Pradesh,SMB
C00003,Cust_ERTJ5,Mumbai,Maharashtra,Retail
C00004,Cust_871YZ,Pune,Maharashtra,Retail
C00005,Cust_9XPSE,Pune,Maharashtra,Retail
C00006,Cust_CATVA,Delhi,Delhi,Retail
C00007,Cust_I64CI,Hyderabad,Telangana,Retail
C00008,Cust_HE7UR,Ahmedabad,Gujarat,Retail
C00009,Cust_3GDPP,Ahmedabad,Gujarat,Retail
C00010,Cust_5BXXC,Ahmedabad,Gujarat,Retail
C00011,Cust_2DGTF,Kolkata,West Bengal,Retail
C00012,Cust_KI7P5,Mumbai,Maharashtra,Retail
C00013,Cust_DXTAD,Jaipur,Rajasthan,Retail
C00014,Cust_FRHOC,Delhi,Delhi,Corporate
C00015,Cust_AO72K,Pune,Maharashtra,Retail
C00016,Cust_XRGHC,Jaipur,Rajasthan,Retail
C00017,Cust_CLBR7,Jaipur,Rajasthan,Retail
C00018,Cust_F8CGV,Jaipur,Rajasthan,Retail
C00019,Cust_O7UUB,Delhi,Delhi,Retail
C00020,Cust_PVS7H,Bengaluru,Karnataka,Retail
C00021,Cust_IOYKL,Kolkata,West Bengal,Retail
C00022,Cust_AWUDT,Bengaluru,Karnataka,Retail
C00023,Cust_J755N,Jaipur,Rajasthan,Retail
C00024,Cust_PTK93,Mumbai,Maharashtra,Corporate
C00025,Cust_A3KX7,Jaipur,Rajasthan,Corporate
C00026,Cust_J60FK,Mumbai,Maharashtra,Retail
C00027,Cust_ZHWJR,Delhi,Delhi,Retail
C00028,Cust_DPJA1,Hyderabad,Telangana,Retail
C00029,Cust_FPZUE,Chennai,Tamil Nadu,Retail
C00030,Cust_T4UFE,Mumbai,Maharashtra,Retail
C00031,Cust_N78BM,Chennai,Tamil Nadu,Corporate
C00032,Cust_YMU59,Delhi,Delhi,Retail
C00033,Cust_7IF2G,Mumbai,Maharashtra,SMB
C00034,Cust_A0L72,Pune,Maharashtra,Retail
C00035,Cust_J2D54,Delhi,Delhi,Corporate
C00036,Cust_H7M35,Delhi,Delhi,Retail
C00037,Cust_AGL58,Delhi,Delhi,Retail
C00038,Cust_MSY4L,Chennai,Tamil Nadu,Retail
C00039,Cust_E8G8J,Hyderabad,Telangana,Retail
C00040,Cust_VM2P9,Bengaluru,Karnataka,Retail
C00041,Cust_NUJZA,Bengaluru,Karnataka,Retail
C00042,Cust_Y70HP,Jaipur,Rajasthan,Retail
C00043,Cust_WXE6S,Kolkata,West Bengal,Retail
C00044,Cust_LZTGX,Pune,Maharashtra,Corporate
C00045,Cust_Y6WKT,Pune,Maharashtra,Retail
C00046,Cust_KH2VL,Hyderabad,Telangana,Retail
C00047,Cust_PHR62,Ahmedabad,Gujarat,Retail
C00048,Cust_XKXWD,Mumbai,Maharashtra,SMB
C00049,Cust_YIHAI,Delhi,Delhi,Retail
C00050,Cust_W1Q5U,Ahmedabad,Gujarat,Retail
C00051,Cust_RIXA1,Pune,Maharashtra,Retail
C00052,Cust_2H2ZQ,Bengaluru,Karnataka,SMB
C00053,Cust_I4Q2Y,Jaipur,Rajasthan,Corporate
C00054,Cust_V86WZ,Jaipur,Rajasthan,Retail
C00055,Cust_P6QF5,Jaipur,Rajasthan,Retail
C00056,Cust_JIW1S,Ahmedabad,Gujarat,Retail
C00057,Cust_JCKJL,Delhi,Delhi,Retail
C00058,Cust_CFNFH,Jaipur,Rajasthan,Retail
C00059,Cust_OTOHP,Pune,Maharashtra,Retail
C00060,Cust_8A5UR,Lucknow,Uttar Pradesh,SMB
C00061,Cust_KO64T,Kolkata,West Bengal,Retail
C00062,Cust_26RJR,Jaipur,Rajasthan,Retail
C00063,Cust_MYOFQ,Pune,Maharashtra,Retail
C00064,Cust_9T6VX,Mumbai,Maharashtra,Retail
C00065,Cust_XEQBN,Bengaluru,Karnataka,Corporate
C00066,Cust_QM5K8,Delhi,Delhi,Retail
C00067,Cust_JCAT9,Pune,Maharashtra,Retail
C00068,Cust_IC8BB,Kolkata,West Bengal,Retail
C00069,Cust_HAFEY,Delhi,Delhi,Retail
C00070,Cust_8QJNV,Lucknow,Uttar Pradesh,Corporate
C00071,Cust_2FLU7,Bengaluru,Karnataka,Retail
C00072,Cust_Y8OZC,Lucknow,Uttar Pradesh,Corporate
C00073,Cust_D14VE,Delhi,Delhi,Retail
C00074,Cust_2MPNS,Lucknow,Uttar Pradesh,Corporate
C00075,Cust_APRPN,Kolkata,West Bengal,Retail
C00076,Cust_ZP08J,Ahmedabad,Gujarat,Corporate
C00077,Cust_1Q3VL,Jaipur,Rajasthan,Retail
C00078,Cust_3D5IQ,Delhi,Delhi,Retail
C00079,Cust_YMRLR,Lucknow,Uttar Pradesh,Retail
