ProductID,Category,SubCategory,ProductName,UnitPrice,Cost
P0001,Toys,Educational,TOY_EDU_1,132.87,107.4
P0002,Electronics,Accessory,ELE_ACC_2,130.95,100.06
P0003,Clothing,Men,CLO_MEN_3,44.76,33.14
P0004,Clothing,Kids,CLO_KID_4,29.55,14.48
P0005,Electronics,Mobile,ELE_MOB_5,15.5,12.07
P0006,Beauty,Makeup,BEA_MAK_6,74.01,43.08
P0007,Electronics,Mobile,ELE_MOB_7,99.07,74.71
P0008,Electronics,Laptop,ELE_LAP_8,22.28,11.14
P0009,Clothing,Kids,CLO_KID_9,8.02,6.09
P0010,Beauty,Skincare,BEA_SKI_10,14.81,12.15
P0011,Beauty,Skincare,BEA_SKI_11,713.82,451.83
P0012,Toys,Dolls,TOY_DOL_12,88.36,62.9
P0013,Toys,Dolls,TOY_DOL_13,45.23,24.82
P0014,Sports,Outdoor,SPO_OUT_14,13.14,6.13
P0015,Sports,Team Sports,SPO_TEA_15,36.03,18.61
P0016,Home & Kitchen,Appliances,HOM_APP_16,547.4,397.41
P0017,Furniture,Bedroom,FUR_BED_17,25.27,17.77
P0018,Toys,Action,TOY_ACT_18,34.43,26.49
P0019,Home & Kitchen,Decor,HOM_DEC_19,138.62,68.15
P0020,Clothing,Men,CLO_MEN_20,30.45,20.59
P0021,Furniture,Living Room,FUR_LIV_21,25.8,12.57
P0022,Electronics,Mobile,ELE_MOB_22,42.03,30.14
P0023,Sports,Outdoor,SPO_OUT_23,818.22,630.15
P0024,Home & Kitchen,Decor,HOM_DEC_24,722.65,423.58
P0025,Beauty,Makeup,BEA_MAK_25,18.6,14.09
P0026,Furniture,Bedroom,FUR_BED_26,325.3,181.38
P0027,Toys,Action,TOY_ACT_27,55.97,29.57
P0028,Beauty,Skincare,BEA_SKI_28,453.33,253.96
P0029,Sports,Outdoor,SPO_OUT_29,93.75,68.76
P0030,Beauty,Makeup,BEA_MAK_30,41.4,25.21
P0031,Furniture,Office,FUR_OFF_31,104.43,64.18
P0032,Beauty,Makeup,BEA_MAK_32,62.15,45.29
P0033,Beauty,Skincare,BEA_SKI_33,47.81,31.21
P0034,Toys,Educational,TOY_EDU_34,84.19,69.04
P0035,Electronics,Laptop,ELE_LAP_35,21.89,12.25
P0036,Furniture,Living Room,FUR_LIV_36,15.34,8.29
P0037,Electronics,Laptop,ELE_LAP_37,61.48,48.1
P0038,Furniture,Bedroom,FUR_BED_38,42.19,29.31
P0039,Sports,Fitness,SPO_FIT_39,47.6,32.53
P0040,Sports,Team Sports,SPO_TEA_40,25.25,16.53
P0041,Furniture,Living Room,FUR_LIV_41,246.7,134.73
P0042,Clothing,Women,CLO_WOM_42,9.86,6.23
P0043,Home & Kitchen,Appliances,HOM_APP_43,11.09,5.81
P0044,Toys,Action,TOY_ACT_44,136.64,115.68
P0045,Toys,Dolls,TOY_DOL_45,131.19,106.88
P0046,Toys,Educational,TOY_EDU_46,69.45,42.58
P0047,Beauty,Haircare,BEA_HAI_47,125.46,59.9
P0048,Clothing,Kids,CLO_KID_48,113.33,82.55
P0049,Toys,Educational,TOY_EDU_49,366.28,172.71
P0050,Clothing,Women,CLO_WOM_50,9.87,4.74
P0051,Sports,Fitness,SPO_FIT_51,32.14,16.02
P0052,Toys,Dolls,TOY_DOL_52,97.55,61.47
P0053,Beauty,Skincare,BEA_SKI_53,51.37,32.27
P0054,Toys,Action,TOY_ACT_54,42.97,29.12
P0055,Furniture,Bedroom,FUR_BED_55,24.74,17.48
P0056,Clothing,Men,CLO_MEN_56,20.73,16.75
P0057,Furniture,Living Room,FUR_LIV_57,157.4,131.61
