OrderID,OrderDate,ProductID,CustomerID,StoreID,Quantity,UnitPrice,Discount,TotalSales,Cost,Profit,Year,Month,Day
O103756,2023-01-01,P0099,C00242,S003,2,5.01,0.2,8.02,5.54,2.48,2023,1,1
O106703,2023-01-01,P0008,C00988,S006,1,22.28,0.0,22.28,11.14,11.14,2023,1,1
O105204,2023-01-01,P0004,C01151,S004,1,29.55,0.0,29.55,14.48,15.07,2023,1,1
O109766,2023-01-01,P0042,C00937,S003,1,9.86,0.1,8.87,6.23,2.64,2023,1,1
O106876,2023-01-01,P0068,C00578,S008,1,100.31,0.0,100.31,81.38,18.93,2023,1,1
O108535,2023-01-01,P0040,C00321,S009,2,25.25,0.1,45.45,33.06,12.39,2023,1,1
O111753,2023-01-01,P0051,C00692,S008,1,32.14,0.1,28.93,16.02,12.91,2023,1,1
O106249,2023-01-01,P0032,C00240,S001,1,62.15,0.1,55.94,45.29,10.65,2023,1,1
O102166,2023-01-01,P0036,C00307,S007,1,15.34,0.0,15.34,8.29,7.05,2023,1,1
O100126,2023-01-01,P0038,C00760,S006,2,42.19,0.05,80.16,58.62,21.54,2023,1,1
O105547,2023-01-01,P0049,C00412,S009,1,366.28,0.0,366.28,172.71,193.57,2023,1,1
O111489,2023-01-01,P0070,C00797,S011,1,27.07,0.0,27.07,14.25,12.82,2023,1,1
O109450,2023-01-01,P0032,C00409,S003,1,62.15,0.0,62.15,45.29,16.86,2023,1,1
O108732,2023-01-01,P0028,C00526,S010,4,453.33,0.0,1813.32,1015.84,797.48,2023,1,1
O101741,2023-01-01,P0029,C00054,S010,2,93.75,0.0,187.5,137.52,49.98,2023,1,1
O108541,2023-01-01,P0007,C00177,S012,1,99.07,0.0,99.07,74.71,24.36,2023,1,1
O103899,2023-01-01,P0083,C00685,S011,2,85.03,0.1,153.05,89.58,63.47,2023,1,1
O109618,2023-01-01,P0089,C00776,S011,1,39.28,0.0,39.28,18.15,21.13,2023,1,1
O110547,2023-01-01,P0092,C00471,S003,2,41.48,0.1,74.66,50.82,23.84,2023,1,1
O107332,2023-01-02,P0022,C00489,S006,4,42.03,0.05,159.71,120.56,39.15,2023,1,2
O101295,2023-01-02,P0028,C00657,S007,1,453.33,0.15,385.33,253.96,131.37,2023,1,2
O111370,2023-01-02,P0043,C00127,S008,1,11.09,0.0,11.09,5.81,5.28,2023,1,2
O100120,2023-01-02,P0099,C00947,S005,2,5.01,0.0,10.02,5.54,4.48,2023,1,2
O103631,2023-01-02,P0090,C00160,S009,1,575.16,0.0,575.16,375.73,199.43,2023,1,2
O108621,2023-01-02,P0044,C01102,S010,2,136.64,0.0,273.28,231.36,41.92,2023,1,2
O101507,2023-01-02,P0053,C00321,S003,4,51.37,0.15,174.66,129.08,45.58,2023,1,2
O110444,2023-01-02,P0031,C00527,S003,3,104.43,0.05,297.63,192.54,105.09,2023,1,2
O105609,2023-01-02,P0076,C00500,S008,1,301.81,0.0,301.81,247.89,53.92,2023,1,2
O102447,2023-01-02,P0018,C00895,S010,1,34.43,0.0,34.43,26.49,7.94,2023,1,2
O110286,2023-01-02,P0038,C00829,S010,1,42.19,0.0,42.19,29.31,12.88,2023,1,2
O102312,2023-01-02,P0057,C00933,S011,1,157.4,0.05,149.53,131.61,17.92,2023,1,2
O109907,2023-01-03,P0074,C00512,S005,2,106.15,0.0,212.3,138.48,73.82,2023,1,3
O102501,2023-01-03,P0017,C01092,S008,1,25.27,0.05,24.01,17.77,6.24,2023,1,3
O102556,2023-01-03,P0080,C00949,S004,1,20.59,0.0,20.59,13.94,6.65,2023,1,3
O101983,2023-01-03,P0001,C00013,S001,1,132.87,0.0,132.87,107.4,25.47,2023,1,3
O110784,2023-01-03,P0036,C00343,S004,1,15.34,0.0,15.34,8.29,7.05,2023,1,3
O110315,2023-01-03,P0048,C01047,S002,3,113.33,0.2,271.99,247.65,24.34,2023,1,3
O100277,2023-01-03,P0018,C00601,S001,4,34.43,0.05,130.83,105.96,24.87,2023,1,3
O109742,2023-01-03,P0091,C00365,S012,1,35.24,0.0,35.24,18.67,16.57,2023,1,3
O100177,2023-01-03,P0004,C01142,S008,3,29.55,0.0,88.65,43.44,45.21,2023,1,3
O105195,2023-01-03,P0041,C00256,S012,1,246.7,0.0,246.7,134.73,111.97,2023,1,3
O111610,2023-01-03,P0013,C00766,S011,1,45.23,0.1,40.71,24.82,15.89,2023,1,3
O109970,2023-01-03,P0021,C00933,S008,1,25.8,0.0,25.8,12.57,13.23,2023,1,3
O111306,2023-01-04,P0093,C00802,S003,1,13.08,0.15,11.12,9.16,1.96,2023,1,4
O110107,2023-01-04,P0072,C00822,S009,1,149.26,0.15,126.87,69.51,57.36,2023,1,4
O105937,2023-01-04,P0055,C00661,S006,2,24.74,0.0,49.48,34.96,14.52,2023,1,4
O108012,2023-01-04,P0092,C00183,S012,1,41.48,0.0,41.48,25.41,16.07,2023,1,4
O108271,2023-01-04,P0069,C00985,S010,1,85.27,0.0,85.27,65.86,19.41,2023,1,4
O111048,2023-01-04,P0029,C00094,S003,2,93.75,0.0,187.5,137.52,49.98,2023,1,4
O101404,2023-01-04,P0059,C00119,S005,1,10.64,0.1,9.58,7.7,1.88,2023,1,4
O101382,2023-01-04,P0020,C00337,S012,1,30.45,0.0,30.45,20.59,9.86,2023,1,4
O109253,2023-01-04,P0062,C01132,S004,1,39.06,0.0,39.06,17.85,21.21,2023,1,4
O103596,2023-01-04,P0012,C00162,S006,3,88.36,0.0,265.08,188.7,76.38,2023,1,4
O109159,2023-01-04,P0070,C00895,S001,1,27.07,0.05,25.72,14.25,11.47,2023,1,4
O110356,2023-01-04,P0048,C00103,S001,1,113.33,0.1,102.0,82.55,19.45,2023,1,4
O110035,2023-01-04,P0087,C00384,S008,2,463.9,0.15,788.63,507.3,281.33,2023,1,4
O104795,2023-01-04,P0090,C01041,S005,2,575.16,0.0,1150.32,751.46,398.86,2023,1,4
O100478,2023-01-04,P0072,C00823,S007,1,149.26,0.05,141.8,69.51,72.29,2023,1,4
O110435,2023-01-04,P0075,C00696,S009,3,10.1,0.1,27.27,22.47,4.8,2023,1,4
O105363,2023-01-04,P0066,C00349,S001,1,105.53,0.0,105.53,58.77,46.76,2023,1,4
O102274,2023-01-04,P0083,C00362,S002,2,85.03,0.05,161.56,89.58,71.98,2023,1,4
O107667,2023-01-04,P0057,C00576,S004,1,157.4,0.05,149.53,131.61,17.92,2023,1,4
O102959,2023-01-04,P0038,C00017,S007,1,42.19,0.05,40.08,29.31,10.77,2023,1,4
O103360,2023-01-05,P0068,C00406,S012,2,100.31,0.0,200.62,162.76,37.86,2023,1,5
O108701,2023-01-05,P0086,C01057,S012,1,310.61,0.1,279.55,159.69,119.86,2023,1,5
O103071,2023-01-05,P0052,C00389,S006,2,97.55,0.0,195.1,122.94,72.16,2023,1,5
O109962,2023-01-05,P0098,C00244,S002,1,37.83,0.0,37.83,29.0,8.83,2023,1,5
O100180,2023-01-05,P0094,C00069,S009,1,21.21,0.1,19.09,12.17,6.92,2023,1,5
O110218,2023-01-05,P0021,C00737,S001,1,25.8,0.0,25.8,12.57,13.23,2023,1,5
O107335,2023-01-05,P0066,C00684,S001,4,105.53,0.1,379.91,235.08,144.83,2023,1,5
O101196,2023-01-05,P0008,C00624,S008,3,22.28,0.0,66.84,33.42,33.42,2023,1,5
O107506,2023-01-05,P0069,C00847,S003,4,85.27,0.1,306.97,263.44,43.53,2023,1,5
O100964,2023-01-05,P0073,C01026,S002,2,36.7,0.0,73.4,36.44,36.96,2023,1,5
O105049,2023-01-06,P0093,C00273,S012,1,13.08,0.0,13.08,9.16,3.92,2023,1,6
O102043,2023-01-06,P0077,C00055,S007,4,130.07,0.05,494.27,430.6,63.67,2023,1,6
O103207,2023-01-06,P0083,C00337,S005,4,85.03,0.1,306.11,179.16,126.95,2023,1,6
O105131,2023-01-06,P0016,C00931,S012,1,547.4,0.05,520.03,397.41,122.62,2023,1,6
O105270,2023-01-06,P0021,C00583,S009,1,25.8,0.0,25.8,12.57,13.23,2023,1,6
O102004,2023-01-06,P0071,C00598,S003,2,9.68,0.15,16.46,14.76,1.7,2023,1,6
O110850,2023-01-06,P0004,C00249,S005,5,29.55,0.1,132.98,72.4,60.58,2023,1,6
O106346,2023-01-06,P0023,C00659,S009,2,818.22,0.0,1636.44,1260.3,376.14,2023,1,6
O108873,2023-01-06,P0072,C00549,S003,4,149.26,0.0,597.04,278.04,319.0,2023,1,6
O105565,2023-01-06,P0082,C00127,S002,1,28.43,0.0,28.43,21.73,6.7,2023,1,6
O103412,2023-01-06,P0023,C00586,S011,10,818.22,0.0,8182.2,6301.5,1880.7,2023,1,6
O111172,2023-01-06,P0021,C00688,S003,2,25.8,0.0,51.6,25.14,26.46,2023,1,6
O105806,2023-01-06,P0079,C00247,S004,1,120.53,0.1,108.48,93.1,15.38,2023,1,6
O100302,2023-01-06,P0077,C00970,S011,1,130.07,0.0,130.07,107.65,22.42,2023,1,6
O110251,2023-01-06,P0062,C00090,S011,1,39.06,0.05,37.11,17.85,19.26,2023,1,6
O104091,2023-01-06,P0056,C00213,S007,1,20.73,0.0,20.73,16.75,3.98,2023,1,6
O103752,2023-01-06,P0040,C00391,S002,1,25.25,0.2,20.2,16.53,3.67,2023,1,6
O101717,2023-01-06,P0001,C00920,S002,1,132.87,0.05,126.23,107.4,18.83,2023,1,6
O101292,2023-01-07,P0048,C00370,S009,2,113.33,0.05,215.33,165.1,50.23,2023,1,7
O104719,2023-01-07,P0097,C00908,S002,1,8.15,0.0,8.15,5.49,2.66,2023,1,7
O103892,2023-01-07,P0016,C00873,S009,1,547.4,0.0,547.4,397.41,149.99,2023,1,7
O103854,2023-01-07,P0016,C01035,S006,1,547.4,0.0,547.4,397.41,149.99,2023,1,7
O101120,2023-01-07,P0034,C01025,S011,1,84.19,0.15,71.56,69.04,2.52,2023,1,7
O101997,2023-01-07,P0090,C00959,S010,4,575.16,0.0,2300.64,1502.92,797.72,2023,1,7
O110535,2023-01-07,P0047,C00728,S003,1,125.46,0.05,119.19,59.9,59.29,2023,1,7
O112000,2023-01-07,P0060,C00565,S010,1,80.71,0.0,80.71,51.25,29.46,2023,1,7
O111371,2023-01-07,P0069,C01156,S005,1,85.27,0.1,76.74,65.86,10.88,2023,1,7
O106514,2023-01-07,P0036,C00244,S010,1,15.34,0.0,15.34,8.29,7.05,2023,1,7
O111943,2023-01-07,P0018,C00710,S004,1,34.43,0.05,32.71,26.49,6.22,2023,1,7
O107263,2023-01-07,P0071,C00236,S010,2,9.68,0.0,19.36,14.76,4.6,2023,1,7
O108039,2023-01-07,P0073,C00995,S010,1,36.7,0.0,36.7,18.22,18.48,2023,1,7
O106278,2023-01-07,P0047,C00769,S001,2,125.46,0.05,238.37,119.8,118.57,2023,1,7
O107665,2023-01-07,P0014,C01133,S009,1,13.14,0.0,13.14,6.13,7.01,2023,1,7
O100493,2023-01-07,P0022,C00145,S005,3,42.03,0.05,119.79,90.42,29.37,2023,1,7
O106607,2023-01-08,P0025,C01189,S006,5,18.6,0.0,93.0,70.45,22.55,2023,1,8
O110116,2023-01-08,P0024,C00588,S003,3,722.65,0.0,2167.95,1270.74,897.21,2023,1,8
O111865,2023-01-08,P0075,C00789,S011,1,10.1,0.0,10.1,7.49,2.61,2023,1,8
O110595,2023-01-08,P0074,C00899,S007,2,106.15,0.05,201.68,138.48,63.2,2023,1,8
O105689,2023-01-08,P0039,C00045,S002,1,47.6,0.0,47.6,32.53,15.07,2023,1,8
O103059,2023-01-08,P0048,C00057,S008,1,113.33,0.1,102.0,82.55,19.45,2023,1,8
O109880,2023-01-08,P0005,C00519,S010,1,15.5,0.1,13.95,12.07,1.88,2023,1,8
O106015,2023-01-08,P0028,C00526,S004,2,453.33,0.0,906.66,507.92,398.74,2023,1,8
O108445,2023-01-08,P0031,C00849,S001,2,104.43,0.0,208.86,128.36,80.5,2023,1,8
O104649,2023-01-08,P0027,C01107,S006,3,55.97,0.1,151.12,88.71,62.41,2023,1,8
O108457,2023-01-08,P0093,C00380,S009,1,13.08,0.0,13.08,9.16,3.92,2023,1,8
O101357,2023-01-08,P0043,C00154,S003,2,11.09,0.15,18.85,11.62,7.23,2023,1,8
O100824,2023-01-08,P0010,C00398,S005,1,14.81,0.0,14.81,12.15,2.66,2023,1,8
O102021,2023-01-08,P0099,C00153,S005,1,5.01,0.05,4.76,2.77,1.99,2023,1,8
O100237,2023-01-08,P0021,C00140,S012,1,25.8,0.1,23.22,12.57,10.65,2023,1,8
O101942,2023-01-08,P0016,C00082,S010,1,547.4,0.0,547.4,397.41,149.99,2023,1,8
O101350,2023-01-08,P0054,C00595,S011,1,42.97,0.0,42.97,29.12,13.85,2023,1,8
O108072,2023-01-08,P0084,C00361,S010,1,17.53,0.0,17.53,14.11,3.42,2023,1,8
O105480,2023-01-09,P0005,C01158,S010,2,15.5,0.0,31.0,24.14,6.86,2023,1,9
O100684,2023-01-09,P0099,C00930,S006,2,5.01,0.15,8.52,5.54,2.98,2023,1,9
O106518,2023-01-09,P0065,C00561,S003,1,776.21,0.0,776.21,385.54,390.67,2023,1,9
O102089,2023-01-09,P0023,C00595,S010,4,818.22,0.0,3272.88,2520.6,752.28,2023,1,9
O111019,2023-01-09,P0091,C01118,S009,1,35.24,0.0,35.24,18.67,16.57,2023,1,9
O104774,2023-01-09,P0065,C00153,S001,1,776.21,0.0,776.21,385.54,390.67,2023,1,9
O102710,2023-01-09,P0077,C00880,S011,2,130.07,0.0,260.14,215.3,44.84,2023,1,9
O109414,2023-01-09,P0088,C00599,S008,1,5.57,0.0,5.57,4.31,1.26,2023,1,9
O102835,2023-01-09,P0064,C01199,S001,2,12.06,0.05,22.91,10.96,11.95,2023,1,9
O100437,2023-01-09,P0063,C00508,S006,2,112.94,0.0,225.88,181.38,44.5,2023,1,9
O100208,2023-01-09,P0004,C00379,S001,1,29.55,0.0,29.55,14.48,15.07,2023,1,9
O109732,2023-01-09,P0055,C00901,S001,2,24.74,0.0,49.48,34.96,14.52,2023,1,9
O103724,2023-01-09,P0021,C00225,S004,1,25.8,0.15,21.93,12.57,9.36,2023,1,9
O107814,2023-01-09,P0036,C00054,S001,1,15.34,0.0,15.34,8.29,7.05,2023,1,9
O102414,2023-01-10,P0100,C00776,S009,1,142.46,0.0,142.46,91.14,51.32,2023,1,10
